city,state,population_2021,latitude,longitude
"New York City, New York", New York,"8,467,513",40.713054,-74.007228
"Los Angeles, California", California,"3,849,297",36.200274,-120.107023
"Chicago, Illinois", Illinois,"2,696,555",41.501481,-87.641605
"Houston, Texas", Texas,"2,288,250",29.760803,-95.369506
"Phoenix, Arizona", Arizona,"1,624,569",31.955457,-110.468147
"Philadelphia, Pennsylvania", Pennsylvania,"1,576,251",39.951061,-75.16562
"San Antonio, Texas", Texas,"1,451,853",29.71144,-98.506202
"San Diego, California", California,"1,381,611",33.698285,-117.776437
"Dallas, Texas", Texas,"1,288,457",31.937479,-105.201233
"San Jose, California", California,"983,489",33.698285,-117.776437
"Austin, Texas", Texas,"964,177",30.264979,-97.746598
"Jacksonville, Florida", Florida,"954,614",30.325968,-81.65676
"Fort Worth, Texas", Texas,"935,508",32.671436,-79.906699
"Columbus, Ohio", Ohio,"906,528",40.144424,-82.984729
"Indianapolis, Indiana", Indiana,"882,039",39.76269,-86.15411
"Charlotte, North Carolina", North Carolina,"879,709",35.222936,-80.840161
"San Francisco, California", California,"815,201",33.698285,-117.776437
"Seattle, Washington", Washington,"733,919",47.170088,-122.601784
"Denver, Colorado", Colorado,"711,463",39.738453,-104.984853
"Oklahoma City, Oklahoma", Oklahoma,"687,725",35.468494,-97.521264
"Nashville , Tennessee", Tennessee,"678,851",36.16097,-86.84923
"El Paso, Texas", Texas,"678,415",31.76006,-106.492257
"Washington, District of Columbia", District of Columbia,"670,050",44.437022,-90.128987
"Boston, Massachusetts", Massachusetts,"654,776",42.358894,-71.056742
"Las Vegas, Nevada", Nevada,"646,790",32.871342,-105.946359
"Portland, Oregon", Oregon,"641,162",45.516018,-122.681425
"Detroit, Michigan", Michigan,"632,464",42.332916,-83.047853
"Louisville, Kentucky", Kentucky,"628,594",38.11375,-85.76621
"Memphis, Tennessee", Tennessee,"628,127",35.143378,-90.052136
"Baltimore, Maryland", Maryland,"576,498",39.401814,-76.602736
"Milwaukee, Wisconsin", Wisconsin,"569,330",43.04339,-87.90707
"Albuquerque, New Mexico", New Mexico,"562,599",35.084248,-106.649241
"Fresno, California", California,"544,510",36.731654,-119.785856
"Tucson, Arizona", Arizona,"543,242",36.7662,-109.4052
"Sacramento, California", California,"525,041",38.582087,-121.50012
"Mesa, Arizona", Arizona,"509,475",35.17584,-114.50999
"Kansas City, Missouri", Missouri,"508,394",37.69059,-90.624665
"Atlanta, Georgia", Georgia,"496,461",33.748547,-84.391502
"Omaha, Nebraska", Nebraska,"487,300",41.21927,-95.9322
"Colorado Springs, Colorado", Colorado,"483,956",32.749834,-98.012774
"Raleigh, North Carolina", North Carolina,"469,124",35.81638,-78.65996
"Virginia Beach, Virginia", Virginia,"457,672",36.845117,-75.975518
"Long Beach, California", California,"456,062",44.048999,-82.987721
"Miami, Florida", Florida,"439,890",26.928356,-82.362439
"Oakland, California", California,"433,823",37.804828,-122.27248
"Minneapolis, Minnesota", Minnesota,"425,336",44.977479,-93.264346
"Tulsa, Oklahoma", Oklahoma,"411,401",35.51999,-97.59234
"Bakersfield, California", California,"407,615",35.373405,-119.018911
"Wichita, Kansas", Kansas,"395,699",37.781101,-97.335602
"Arlington, Texas", Texas,"392,786",32.735594,-97.10711